dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
gotham,time,all,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.0394,{},random,,,0,0.90541038373012,0.90541038373012,2687225,895742,3582967
gotham,time,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.8987159250990127,0.9001335846793104,2687225,895742,3582967
gotham,time,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.019799999999999998, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",random,,,0,0.8620619178775463,0.8824790484673162,2687225,895742,3582967
gotham,time,all,pyod_copod_env_sensitive,pyod_copod_env_sensitive,pyod_copod,env_sensitive,native_default,native,,{},random,,,0,,,2687225,895742,3582967
gotham,time,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_observed_f1,single_validation_observed,0.0394,{},random,,,0,0.9430983740640394,0.9430983740640394,2687225,895742,3582967
gotham,time,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.8991421906374266,0.9009824540277727,2687225,895742,3582967
gotham,time,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod_env_sensitive,pyod_copod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",random,,,0,0.8292516234682586,0.8446266075692149,2687225,895742,3582967
gotham,device,all,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.255,{},random,,,0,0.9999197807904547,0.9999197807904547,2915869,971957,3887826
gotham,device,all,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.9360205757295194,0.9869502822347963,2915869,971957,3887826
gotham,device,all,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.99, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",random,,,0,0.8600477119549831,0.9677199271174384,2915869,971957,3887826
gotham,device,all,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,rf_full__val_observed_f1,rf_full,sklearn_tree,full,val_observed_f1,single_validation_observed,0.696,{},random,,,0,0.9999987936153297,0.9999987936153297,2915869,971957,3887826
gotham,device,all,rf_full__val_robust_minimax,rf_full,sklearn_tree,full,val_robust_minimax,single_validation_minimax,0.549,{},random,,,0,0.9999963808547214,0.9999967427683032,2915869,971957,3887826
gotham,device,all,rf_full__oracle_env_upper_bound,rf_full,sklearn_tree,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.3726, ""delayed_collector"": 0.402, ""high_background"": 0.3236, ""low_sampling"": 0.2746, ""observed"": 0.3922}",random,,,0,0.9999114215997593,0.999970751731962,2915869,971957,3887826
gotham,device,all,xgb_full,xgb_full,xgboost,full,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,xgb_full__val_observed_f1,xgb_full,xgboost,full,val_observed_f1,single_validation_observed,0.9508,{},random,,,0,0.9999927617269072,0.9999927617269072,2915869,971957,3887826
gotham,device,all,xgb_full__val_robust_minimax,xgb_full,xgboost,full,val_robust_minimax,single_validation_minimax,0.019799999999999998,{},random,,,0,0.9924958281469926,0.9968593662751541,2915869,971957,3887826
gotham,device,all,xgb_full__oracle_env_upper_bound,xgb_full,xgboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.9606, ""delayed_collector"": 0.843, ""high_background"": 0.01, ""low_sampling"": 0.9802, ""observed"": 0.9606}",random,,,0,0.9986010411594571,0.9992372782180448,2915869,971957,3887826
gotham,device,all,lgbm_full,lgbm_full,lightgbm,full,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,lgbm_full__val_observed_f1,lgbm_full,lightgbm,full,val_observed_f1,single_validation_observed,0.1276,{},random,,,0,0.999996984043782,0.999996984043782,2915869,971957,3887826
gotham,device,all,lgbm_full__val_robust_minimax,lgbm_full,lightgbm,full,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.7747599937919872,0.9486917250717868,2915869,971957,3887826
gotham,device,all,lgbm_full__oracle_env_upper_bound,lgbm_full,lightgbm,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.0394, ""delayed_collector"": 0.01, ""high_background"": 0.0394, ""low_sampling"": 0.0394, ""observed"": 0.0394}",random,,,0,0.6887683048741319,0.9116536921671201,2915869,971957,3887826
gotham,device,all,cat_full,cat_full,catboost,full,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,cat_full__val_observed_f1,cat_full,catboost,full,val_observed_f1,single_validation_observed,0.99,{},random,,,0,0.9999927617269072,0.9999927617269072,2915869,971957,3887826
gotham,device,all,cat_full__val_robust_minimax,cat_full,catboost,full,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.9953652436259234,0.9982600080979394,2915869,971957,3887826
gotham,device,all,cat_full__oracle_env_upper_bound,cat_full,catboost,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.157, ""high_background"": 0.01, ""low_sampling"": 0.0982, ""observed"": 0.9802}",random,,,0,0.9316016289972561,0.9782032098044311,2915869,971957,3887826
gotham,device,all,iforest_env_sensitive,iforest_env_sensitive,sklearn_anomaly,env_sensitive,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,iforest_env_sensitive__val_observed_f1,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_observed_f1,single_validation_observed,0.5784,{},random,,,0,0.9915649762020614,0.9915649762020614,2915869,971957,3887826
gotham,device,all,iforest_env_sensitive__val_robust_minimax,iforest_env_sensitive,sklearn_anomaly,env_sensitive,val_robust_minimax,single_validation_minimax,0.2648,{},random,,,0,0.9514218437857068,0.9603293118021687,2915869,971957,3887826
gotham,device,all,iforest_env_sensitive__oracle_env_upper_bound,iforest_env_sensitive,sklearn_anomaly,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.5588, ""delayed_collector"": 0.5294, ""high_background"": 0.2844, ""low_sampling"": 0.49019999999999997, ""observed"": 0.5588}",random,,,0,0.9375571193476189,0.9709497819350265,2915869,971957,3887826
gotham,device,all,pyod_ecod_env_sensitive,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,pyod_ecod_env_sensitive__val_observed_f1,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_observed_f1,single_validation_observed,0.01,{},random,,,0,0.9205958559292952,0.9205958559292952,2915869,971957,3887826
gotham,device,all,pyod_ecod_env_sensitive__val_robust_minimax,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.8946947641359232,0.9150508572234031,2915869,971957,3887826
gotham,device,all,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.019799999999999998, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",random,,,0,0.8223520827118118,0.8407533126333272,2915869,971957,3887826
gotham,device,all,pyod_copod_env_sensitive,pyod_copod_env_sensitive,pyod_copod,env_sensitive,native_default,native,,{},random,,,0,,,2915869,971957,3887826
gotham,device,all,pyod_copod_env_sensitive__val_observed_f1,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_observed_f1,single_validation_observed,0.01,{},random,,,0,0.8950198785286307,0.8950198785286307,2915869,971957,3887826
gotham,device,all,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_robust_minimax,single_validation_minimax,0.01,{},random,,,0,0.8430804291682988,0.8910956874205167,2915869,971957,3887826
gotham,device,all,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod_env_sensitive,pyod_copod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.01, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.01}",random,,,0,0.7627610217654632,0.774029840446611,2915869,971957,3887826


