dataset,split,fold,detector,base_detector,detector_family,feature_profile,calibration_policy,threshold_mode,threshold,env_thresholds,validation_strategy,validation_group_col,validation_groups,validation_removed_group_rows,validation_min_f1,validation_mean_f1,fit_rows,validation_rows,train_rows
uwf,time,within_family_chronological,pyod_ecod_env_sensitive__oracle_env_upper_bound,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1472, ""delayed_collector"": 0.1472, ""high_background"": 0.157, ""low_sampling"": 0.108, ""observed"": 0.157}",attack_family_challenge,attack_family,Initial Access,365,0.8237624794724083,0.8532581439972287,61587,730,62317
uwf,time,within_family_chronological,pyod_copod_env_sensitive,pyod_copod_env_sensitive,pyod_copod,env_sensitive,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,365,,,61587,730,62317
uwf,time,within_family_chronological,pyod_copod_env_sensitive__val_observed_f1,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_observed_f1,single_validation_observed,0.08839999999999999,{},attack_family_challenge,attack_family,Initial Access,365,0.8304891922639362,0.8304891922639362,61587,730,62317
uwf,time,within_family_chronological,pyod_copod_env_sensitive__val_robust_minimax,pyod_copod_env_sensitive,pyod_copod,env_sensitive,val_robust_minimax,single_validation_minimax,0.20600000000000002,{},attack_family_challenge,attack_family,Initial Access,365,0.6846846846846847,0.7014353098895769,61587,730,62317
uwf,time,within_family_chronological,pyod_copod_env_sensitive__oracle_env_upper_bound,pyod_copod_env_sensitive,pyod_copod,env_sensitive,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.1374, ""delayed_collector"": 0.157, ""high_background"": 0.1668, ""low_sampling"": 0.1276, ""observed"": 0.1668}",attack_family_challenge,attack_family,Initial Access,365,0.9012265213011791,0.9189796220155267,61587,730,62317
uwf,source_ip,within_family_source_ip,lr_full,lr_full,sklearn_linear,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
uwf,source_ip,within_family_source_ip,lr_full__val_observed_f1,lr_full,sklearn_linear,full,val_observed_f1,single_validation_observed,0.059000000000000004,{},attack_family_challenge,attack_family,Initial Access,323,0.9984544049459042,0.9984544049459042,56843,646,57489
uwf,source_ip,within_family_source_ip,lr_full__val_robust_minimax,lr_full,sklearn_linear,full,val_robust_minimax,single_validation_minimax,0.01,{},attack_family_challenge,attack_family,Initial Access,323,0.9337641357027464,0.9545298475690496,56843,646,57489
uwf,source_ip,within_family_source_ip,lr_full__oracle_env_upper_bound,lr_full,sklearn_linear,full,oracle_env_upper_bound,per_test_environment_oracle,,"{""congested_link"": 0.01, ""delayed_collector"": 0.1962, ""high_background"": 0.01, ""low_sampling"": 0.01, ""observed"": 0.1864}",attack_family_challenge,attack_family,Initial Access,323,0.8699807238074553,0.9647894077029934,56843,646,57489
uwf,source_ip,within_family_source_ip,rf_full,rf_full,sklearn_tree,full,native_default,native,,{},attack_family_challenge,attack_family,Initial Access,323,,,56843,646,57489
