dataset,split,fold,detector,detector_family,feature_profile,observed_f1,worst_intervention_f1,worst_hidden_drop
uwf,heldout_family,exfiltration,cat_full__oracle_env_upper_bound,catboost,full,1.0,1.0,0.0
uwf,heldout_family,initial_access,gb_full,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,initial_access,gb_full__val_robust_minimax,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,initial_access,gb_full__oracle_env_upper_bound,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,initial_access,xgb_full__oracle_env_upper_bound,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,initial_access,cat_full__oracle_env_upper_bound,catboost,full,1.0,1.0,0.0
uwf,heldout_family,persistence,gb_full__oracle_env_upper_bound,sklearn_boosting,full,1.0,1.0,0.0
uwf,heldout_family,persistence,xgb_full__oracle_env_upper_bound,xgboost,full,1.0,1.0,0.0
uwf,heldout_family,persistence,cat_full__oracle_env_upper_bound,catboost,full,1.0,1.0,0.0
uwf,source_ip,within_family_source_ip,gb_full__oracle_env_upper_bound,sklearn_boosting,full,0.9965690926344989,0.9965690926344989,0.0
uwf,source_ip,within_family_source_ip,cat_full__val_robust_minimax,catboost,full,0.9809314174065739,0.9809314174065739,0.0
uwf,heldout_family,persistence,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.3443396226415094,0.3443396226415094,0.0
uwf,heldout_family,reconnaissance,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.3442622950819672,0.3442622950819672,0.0
uwf,heldout_family,privilege_escalation,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.34192037470725994,0.34192037470725994,0.0
uwf,heldout_family,defense_evasion,pyod_ecod_env_sensitive,pyod_ecod,env_sensitive,0.33031674208144796,0.33031674208144796,0.0


